LÄNSKOD;KOMMUNKOD;LÄNSNAMN;KOMMUNNAMN;M;C;L;KD;S;V;MP;SD;FI;AfS;BASIP;CSIS;DD;DjuP;EAP;ENH;FHS;Gup;INI;KLP;KrVP;LPo;MED;NMR;NORRP;NYREF;PP;RNP;S-FRP;SKP;SKÅ;TRP;VL-S;ÖVR;OGEJ;BLANK;OG;RÖSTER GILTIGA;RÖSTANDE;RÖSTBERÄTTIGADE;VALDELTAGANDE
1;14;Stockholms län;Upplands Väsby;23,11;6,26;5,66;6,71;26,97;8,01;3,92;18,04;0,37;0,31;;;0,09;0,04;;0,04;;;;0,02;0,07;0,01;0,19;0,08;;;0,07;;0,02;0,01;;;;;0,04;0,69;0,06;25830;26036;30740;84,7
1;15;Stockholms län;Vallentuna;28,29;10,11;7,73;7,58;18,91;4,47;4,85;16,63;0,27;0,37;;;0,1;0,1;;0,1;;;0,01;0,01;;0,03;0,25;0,06;;;0,1;;;0;;0;;0;0,02;0,59;0,08;20952;21099;23438;90,02
1;17;Stockholms län;Österåker;29,68;9,35;7,48;7,13;19,71;4,97;4,44;16,09;0,3;0,27;;;0,05;0,02;;0,09;;;0,01;;0;0;0,31;0,02;;;0,05;;;0,02;;;;0,01;0,03;0,69;0,13;27711;27947;31309;89,26
1;20;Stockholms län;Värmdö;27,49;9,76;6,4;5,89;20,48;6,02;5,41;17,19;0,36;0,29;0;;0,07;0,07;;0,15;;;0,02;0,01;0,04;0,01;0,24;0,03;;;0,04;;;0;;;;0,01;0,04;0,67;0,07;28115;28335;31371;90,32
1;23;Stockholms län;Järfälla;23,96;6,31;6,04;6,29;27,68;8,75;4,54;15;0,34;0,33;;;0,08;0,03;;0,05;;;0,01;0,01;0,17;0,01;0,21;0,04;;0;0,1;;0,01;0,03;;0;;0,02;0,04;0,53;0,07;45654;45948;53230;86,32
1;25;Stockholms län;Ekerö;28,12;11,24;7,64;7,85;17,17;4,76;5,7;16,21;0,34;0,35;0,01;;0,1;0,03;;0,04;;;0,01;0,02;0,04;;0,31;0,01;;;0,04;;0,01;0,01;;;;0,01;0,01;0,64;0,08;17814;17946;19472;92,16
1;26;Stockholms län;Huddinge;24,07;7,52;6,14;5,35;26,1;8,63;5,32;15,17;0,49;0,42;0,01;;0,1;0,04;0;0,05;;;0,02;0,04;0,06;0;0,29;0,03;;0;0,13;;;0,01;;;;0,01;0,04;0,58;0,07;61440;61869;72839;84,94
1;27;Stockholms län;Botkyrka;18,52;5,19;4,39;8,13;32,34;9,85;3,85;16,05;0,44;0,27;0,04;;0,06;0,17;0;0,06;;;0,02;0;0,11;0,01;0,19;0,03;;0,01;0,17;;;0,04;;;;0,06;0,03;0,64;0,05;45393;45719;58436;78,24
1;28;Stockholms län;Salem;24,84;7,61;7,58;7,98;23,07;5,98;4,48;16,88;0,32;0,31;0,01;;0,05;0,03;;0,06;;;;0,03;0,15;;0,34;0,04;;;0,22;;;0,02;;;;;0,04;0,75;0,02;9985;10066;11463;87,81
1;36;Stockholms län;Haninge;22,94;6,06;5,11;5,36;27,29;7,99;3,71;19,89;0,38;0,45;0,02;;0,09;0,13;;0,06;;;0;0,03;0,06;0,02;0,22;0,05;;0;0,12;;0,01;0,01;;0;;0,01;0,05;0,79;0,05;50484;50940;59890;85,06
1;38;Stockholms län;Tyresö;25,84;7,93;6,94;5,75;23,87;6,37;5,41;16,33;0,38;0,32;;;0,09;0,15;0,01;0,08;;;0;0,01;0,04;0,01;0,31;0,02;;;0,15;;;0,01;;;;0;0,03;0,64;0,06;30260;30482;33776;90,25
1;39;Stockholms län;Upplands-Bro;23,16;6,01;5,43;7,54;26,16;6,65;3,25;20,11;0,34;0,43;;;0,05;0,11;;0,07;;;0,01;0,01;0,2;0,01;0,29;0,06;;;0,06;;0,02;0,01;;;;0,01;0,04;0,75;0,05;16366;16506;19023;86,77
1;40;Stockholms län;Nykvarn;27,24;7,65;4,56;6,06;22,42;3,52;2,98;24,55;0,25;0,37;;;;0,01;;0,1;;;0,03;0,01;0,03;0,03;0,13;0,03;;;0,03;;;;;;;;;0,93;0,07;6847;6916;7623;90,73
1;60;Stockholms län;Täby;35,97;10,98;10,71;8,31;13,99;3,2;4,11;11,41;0,26;0,33;;;0,05;0,05;;0,04;;;0;0,02;0,09;0;0,35;0,02;;;0,07;;;0,01;;;;0,01;0,01;0,44;0,04;46386;46616;51157;91,12
1;62;Stockholms län;Danderyd;41,59;11,28;11,19;10,1;8,04;2,36;3,77;10,33;0,28;0,32;0,01;;0,05;0,05;;0,04;;;0,05;0,02;0,11;0;0,36;0,01;;;0,06;;;0,01;;;;;0,03;0,24;0,03;21897;21961;23891;91,92
1;63;Stockholms län;Sollentuna;28,07;10,18;8,97;7,53;20,85;6,49;5,25;11,24;0,33;0,35;0,01;;0,1;0,02;;0,07;;;0,02;0,02;0,06;0;0,3;0,01;;;0,08;;0;0,04;;;;0,01;0,03;0,5;0,06;43676;43934;49597;88,58
1;80;Stockholms län;Stockholm;21,88;9,07;7,85;4,87;23,76;13,12;7,7;9,84;0,71;0,36;0,01;;0,08;0,07;0;0,07;;;0,03;0,03;0,05;0,01;0,29;0,02;;0;0,14;;0;0,02;;;;0,01;0,04;0,49;0,06;611206;614860;704157;87,32
1;81;Stockholms län;Södertälje;19,81;5,86;4,45;11,17;27,18;7,7;4,51;17,49;0,49;0,35;0,02;;0,09;0,03;0,01;0,17;;;0,04;0,01;0,22;0,02;0,21;0,05;;0,01;0,1;;;0;;;;0;0,03;0,76;0,06;48273;48684;62783;77,54
1;82;Stockholms län;Nacka;28,73;12,18;8,41;6,1;19,37;6,54;6,54;10,76;0,41;0,28;0;;0,07;0,06;0;0,06;;;0,02;0,02;0,03;0,01;0,3;0,02;;0;0,07;;;0;;;;0;0,03;0,49;0,04;64101;64465;71629;90
